iata_code,icao_code,ident,name,municipality,iso_country,continent,latitude_deg,longitude_deg,type,scheduled_service
VHM,ESNV,ESNV,Vilhelmina South Lapland Airport,Vilhelmina,SE,EU,64.579102,16.833599,medium_airport,yes
AJR,ESNX,ESNX,Arvidsjaur Airport,Arvidsjaur,SE,EU,65.59030151367188,19.28190040588379,medium_airport,yes
SOO,ESNY,ESNY,Söderhamn Airport,Söderhamn,SE,EU,61.261501,17.0991,medium_airport,no
OSD,ESNZ,ESNZ,Åre Östersund Airport,Östersund,SE,EU,63.193546,14.504168,medium_airport,yes
ORB,ESOE,ESOE,Örebro Airport,Örebro,SE,EU,59.22370147705078,15.038000106811523,medium_airport,yes
HFS,ESOH,ESOH,Hagfors Airport,Råda,SE,EU,60.0201,13.5789,small_airport,yes
KSD,ESOK,ESOK,Karlstad Airport,Karlstad,SE,EU,59.444698,13.3374,medium_airport,yes
VST,ESOW,ESOW,Stockholm Västerås Airport,Stockholm / Västerås,SE,EU,59.589401,16.6336,large_airport,yes
LLA,ESPA,ESPA,Luleå Airport,Luleå,SE,EU,65.5438,22.122,large_airport,yes
ARN,ESSA,ESSA,Stockholm-Arlanda Airport,Stockholm,SE,EU,59.64849,17.928829,large_airport,yes
BMA,ESSB,ESSB,Stockholm-Bromma Airport,Stockholm,SE,EU,59.354401,17.9417,medium_airport,yes
BLE,ESSD,ESSD,Dala Airport,Borlange,SE,EU,60.422001,15.5152,medium_airport,yes
HLF,ESSF,ESSF,Hultsfred Airport,Hultsfred,SE,EU,57.525799,15.8233,small_airport,no
LPI,ESSL,ESSL,Linköping City Airport,Linköping,SE,EU,58.404909,15.684499,large_airport,yes
NRK,ESSP,ESSP,Norrköping Airport,Norrköping,SE,EU,58.586299896240234,16.250600814819336,medium_airport,yes
TYF,ESST,ESST,Torsby Airport,Torsby,SE,EU,60.1576,12.9913,medium_airport,yes
EKT,ESSU,ESSU,Eskilstuna Airport,Eskilstuna,SE,EU,59.351101,16.708401,medium_airport,no
VBY,ESSV,ESSV,Visby Airport,Visby,SE,EU,57.6628,18.346201,large_airport,yes
VVK,ESSW,ESSW,Västervik Airport,Västervik,SE,EU,57.779999,16.5236,small_airport,no
AGH,ESTA,ESTA,Ängelholm-Helsingborg Airport,Ängelholm,SE,EU,56.29610061645508,12.847100257873535,medium_airport,yes
SQO,ESUD,ESUD,Storuman Airport,Storuman,SE,EU,64.960899,17.6966,medium_airport,no
IDB,ESUE,ESUE,Idre Airport,Idre,SE,EU,61.869701,12.6894,small_airport,no
PJA,ESUP,ESUP,Pajala Airport,Pajala,SE,EU,67.244569,23.074894,small_airport,yes
HMV,ESUT,ESUT,Hemavan Airport,Hemavan,SE,EU,65.806099,15.0828,small_airport,yes
GLC,,ET-GLC,Geladi Airport,Geladi,ET,AF,6.984439849849999,46.4213981628,small_airport,no
SHC,HASR,ET-SHC,Shire Inda Selassie Airport,Shire Inda Selassie,ET,AF,14.075699,38.273592,small_airport,yes
SPM,ETAD,ETAD,Spangdahlem Air Base,Trier,DE,EU,49.976507,6.698413,medium_airport,no
RMS,ETAR,ETAR,Ramstein Air Base,Ramstein-Miesenbach,DE,EU,49.436901,7.60028,medium_airport,no
FRZ,ETHF,ETHF,Fritzlar Army Airfield,Fritzlar,DE,EU,51.1146,9.286,medium_airport,no
ILH,ETIK,ETIK,Illesheim Army Heliport,Illesheim,DE,EU,49.4739,10.3881,heliport,no
KZG,,ETIN,Kitzingen Airfield,Kitzingen,DE,EU,49.744293,10.207313,small_airport,no
FCN,ETMN,ETMN,Sea-Airport Cuxhaven/Nordholz / Nordholz Naval Airbase,Wurster Nordseeküste,DE,EU,53.767689,8.659201,medium_airport,yes
GKE,ETNG,ETNG,Geilenkirchen Air Base,Geilenkirchen,DE,EU,50.9608,6.04242,medium_airport,no
RLG,ETNL,ETNL,Rostock-Laage Airport,Laage,DE,EU,53.918201,12.2783,medium_airport,yes
WBG,ETNS,ETNS,Schleswig Air Base,Jagel,DE,EU,54.459301,9.51633,medium_airport,no
WIE,ETOU,ETOU,Wiesbaden Army Airfield,Wiesbaden,DE,EU,50.049800872802734,8.325400352478027,medium_airport,no
IGS,ETSI,ETSI,Ingolstadt Manching Airport,Manching,DE,EU,48.7156982421875,11.534000396728516,medium_airport,no
LPX,EVLA,EVLA,Liepāja International Airport,Liepāja,LV,EU,56.517502,21.096901,large_airport,no
RIX,EVRA,EVRA,Riga International Airport,Riga,LV,EU,56.920752,23.970711,large_airport,yes
VNT,EVVA,EVVA,Ventspils International Airport,Ventspils,LV,EU,57.3578,21.544201,small_airport,no
EXI,,EXI,Excursion Inlet Seaplane Base,Excursion Inlet,US,NA,58.420502,-135.449005,seaplane_base,yes
KUN,EYKA,EYKA,Kaunas International Airport,Kaunas,LT,EU,54.963965,24.08582,large_airport,yes
PLQ,EYPA,EYPA,Palanga International Airport,Palanga,LT,EU,55.973202,21.093901,large_airport,yes
PNV,EYPP,EYPP,Panevėžys Air Base,Panevėžys,LT,EU,55.729400634765625,24.460800170898438,medium_airport,no
SQQ,EYSA,EYSA,Šiauliai International Airport,Šiauliai,LT,EU,55.89390182495117,23.395000457763672,medium_airport,no
